sub_id,user_id,start_date,end_date,price
714945,7693,2020-08-05,2020-09-05,0
716430,7574,2020-08-05,2020-09-05,0
702631,435,2020-08-05,2020-09-05,0
756411,30496,2020-12-31,2021-12-31,"7,58"
719456,7397,2020-08-28,2020-09-12,0
704491,2538,2020-08-05,2020-09-05,0
704787,1819,2020-08-05,2020-09-05,0
714212,7580,2020-08-05,2020-09-05,0
738530,19041,2020-10-24,2020-11-07,0
702638,442,2020-08-05,2020-09-05,0
714938,7523,2020-08-05,2020-09-05,0
715910,7764,2020-08-05,2020-09-05,0
